PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,1,EFDHV11D65A         ,384,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,2,EFDHV11L27A         ,96,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,3,EFDHV15D65A         ,576,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,4,EFDHV15L27A         ,576,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,5,EFDHV20D65A         ,1536,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,6,EFDHV20L27A         ,96,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,7,EFDHV23D65A         ,576,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,8,EFDHV23L27A         ,96,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,9,EFDHV25D65A         ,576,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,10,EFDHV25L27A         ,96,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,11,EFDHV5D65A          ,192,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,12,EFDHV8D65A          ,192,PC,
PC160067,PIZ00003  ,06-25-2016,,301367,SEA.F     ,13,EFDHV8L27A          ,192,PC,
