PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC00010,PIZ00003  ,25-Apr-15,5/10/2015,,SEA.F     ,1,EFDHV11D65A,960,PC
PLIC00010,PIZ00003  ,25-Apr-15,5/10/2015,,SEA.F     ,2,EFDHV15D65A,480,PC
PLIC00010,PIZ00003  ,25-Apr-15,5/10/2015,,SEA.F     ,3,EFDHV20D65A,1728,PC
PLIC00010,PIZ00003  ,25-Apr-15,5/10/2015,,SEA.F     ,4,EFDHV23D65A,1728,PC
PLIC00010,PIZ00003  ,25-Apr-15,5/10/2015,,SEA.F     ,5,EFDHV25D65A,1344,PC
PLIC00010,PIZ00003  ,25-Apr-15,5/10/2015,,SEA.F     ,6,EFDHV5D65A,96,PC
PLIC00010,PIZ00003  ,25-Apr-15,5/10/2015,,SEA.F     ,7,EFDHV8D65A,384,PC
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
