PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV8L27L          ,SEA.F     ,1,EFDLV8L27L          ,1356,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV11L27L         ,SEA.F     ,2,EFDLV11L27L         ,1764,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV11D65L         ,SEA.F     ,3,EFDLV11D65L         ,9180,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV15L27L         ,SEA.F     ,4,EFDLV15L27L         ,3108,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV15D65L         ,SEA.F     ,5,EFDLV15D65L         ,7044,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV20D65L         ,SEA.F     ,6,EFDLV20D65L         ,1800,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV23L27L         ,SEA.F     ,7,EFDLV23L27L         ,432,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV23D65L         ,SEA.F     ,8,EFDLV23D65L         ,7200,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV25L27L         ,SEA.F     ,9,EFDLV25L27L         ,3600,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV25D65L         ,SEA.F     ,10,EFDLV25D65L         ,9000,PC,
PLIC0004,PIZ00002  ,04-28-2015,2015-05-25,EFDLV8D65L          ,SEA.F     ,11,EFDLV8D65L          ,6900,PC,
