PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,1,EFD11E27HD3A2       ,3000,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,2,EFD11E65HD3A2       ,4920,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,3,EFD14E27HD3A2       ,3000,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,4,EFD14E65HD3A2       ,5400,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,5,EFD19E65HD3A        ,1080,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,6,EFD25E27HD3A        ,120,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,7,EFD25E65HD3A2       ,360,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,8,EFD5E27HD3A2        ,240,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,9,EFD5E65HD3A2        ,960,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,10,EFD8E27HD3A2        ,1680,PC
PLIC0014,PLI00004  ,4/26/2015,5/1/2015,301367,SEA.F     ,11,EFD8E65HD3A2        ,6000,PC
