PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,1,EFUHV14L27M         ,6000,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,2,EFUHV18L27M         ,10000,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,3,EFUHV18D65M         ,20000,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,4,EFUHV23L27M         ,10000,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,5,EFUHV23D65M         ,20000,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,6,EFDHV11L27M         ,5220,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,7,EFDHV11D65M         ,5220,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,8,EFDHV23L27M         ,7956,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,9,EFDHV23D65M         ,7956,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,10,EFDHV25L27M         ,7344,PC,
PLIC0015,PIZ00003  ,04-24-2015,2015-05-10,301367,SEA.F     ,11,EFDHV25D65M         ,7344,PC,
