PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,1,EFDHV11D65A         ,5952,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,2,EFDHV11L27A         ,1152,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,3,EFDHV20L27A         ,480,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,4,EFDHV23D65A         ,3840,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,5,EFDHV25D65A         ,12000,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,6,EFDHV15D65A         ,7200,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,7,EFDHV15L27A         ,480,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,8,EFDHV20D65A         ,3840,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,9,EFDHV5D65A          ,4800,PC,
PLIC0019,PIZ00003  ,04-23-2015,2015-05-10,301367,SEA.F     ,10,EFDHV8D65A          ,4800,PC,
