PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,1,EFU11E272V          ,1000,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,2,EFU11E652V          ,1000,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,3,EFU14E272V          ,600,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,4,EFU14E652V          ,3500,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,5,EFU18E272V          ,2500,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,6,EFU18E652V          ,45000,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,7,EFU5E282V           ,500,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,8,EFU5E672V           ,400,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,9,EFU8E272V           ,600,PC,
PLIC0028,PIZ00003  ,04-27-2015,2015-05-10,301367,SEA.F     ,10,EFU8E652V           ,400,PC,
