PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,1,EFDHV11D65A         ,2112,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,2,EFDHV11L27A         ,1344,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,3,EFDHV15D65A         ,3072,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,4,EFDHV15L27A         ,1344,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,5,EFDHV20D65A         ,3072,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,6,EFDHV20L27A         ,1920,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,7,EFDHV23D65A         ,4800,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,8,EFDHV23L27A         ,1824,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,9,EFDHV25D65A         ,38016,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,10,EFDHV25L27A         ,2592,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,11,EFDHV5D65A          ,576,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,12,EFDHV5L27A          ,672,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,13,EFDHV8D65A          ,672,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,14,EFDHV8L27A          ,672,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,15,EFU11E272V          ,900,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,16,EFU11E652V          ,1200,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,17,EFU14E272V          ,1200,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,18,EFU14E652V          ,3200,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,19,EFU18E272V          ,3400,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,20,EFU18E652V          ,64700,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,21,EFU5E282V           ,900,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,22,EFU5E672V           ,500,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,23,EFU8E272V           ,700,PC,
PLIC0029,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,24,EFU8E652V           ,800,PC,
