PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,1,EFDHV11L27T         ,8448,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,2,EFDHV15D65T         ,65952,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,3,EFDHV15D65TD        ,24000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,4,EFDHV15L27T         ,15360,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,5,EFDHV20D65T         ,28800,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,6,EFDHV23D65T         ,12000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,7,EFDHV23L27T         ,3648,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,8,EFDHV25D65T         ,240000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,9,EFDHV25D65TD        ,96000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,10,EFDHV25L27T         ,13152,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,11,EFDHV5D65T          ,6720,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,12,EFDHV5L27T          ,4512,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,13,EFDHV8D65T          ,12000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,14,EFU11E272V          ,12100,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,15,EFU11E652V          ,44000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,16,EFU14E272V          ,24000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,17,EFU14E652V          ,264000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,18,EFU18E272V          ,8000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,19,EFU18E652V          ,88000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,20,EFU5E282V           ,12000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,21,EFU5E672V           ,13200,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,22,EFU8E272V           ,15000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,23,EFU8E652V           ,49500,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,24,EFUHV11L27A         ,2400,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,25,EFUHV14D65A         ,80000,PC,
PLIC0030,PIZ00003  ,05-25-2015,2015-06-10,301367,SEA.F     ,26,EFUHV8L27A          ,2000,PC,
