PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,1,EFDHV11D65L         ,2496,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,2,EFDHV11L27L         ,1092,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,3,EFDHV15D65L         ,3492,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,4,EFDHV15L27L         ,1392,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,5,EFDHV20L27L         ,1092,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,6,EFDHV25D65L         ,1092,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,7,EFDHV25L27L         ,300,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,8,EFDHV8D65L          ,996,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,9,EFDHV8L27L          ,996,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,10,EFUHV14L27L         ,400,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,11,EFUHV8L27L          ,300,PC,
PLIC0034,PIZ00003  ,05-23-2015,1970-01-01,301367,SEA.F     ,12,EFUHV18L27L         ,400,PC,
