PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,1,EFDLV11D65L         ,912,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,2,EFDLV11L27L         ,1500,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,3,EFDLV15D65L         ,1296,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,4,EFDLV15L27L         ,600,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,5,EFDLV20L27L         ,708,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,6,EFDLV23D65L         ,372,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,7,EFDLV25D65L         ,420,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,8,EFDLV25L27L         ,492,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,9,EFDLV8D65L          ,3708,PC,
PLIC0035,PIZ00003  ,06-06-2015,2015-06-10,301367,SEA.F     ,10,EFDLV8L27L          ,1236,PC,
