PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,1,EFUHV11D65A         ,10000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,2,EFUHV11D65BA        ,20000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,3,EFUHV11L27A         ,5000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,4,EFUHV11L27BA        ,5000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,5,EFUHV14D65A         ,10000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,6,EFUHV14D65BA        ,20000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,7,EFUHV14L27A         ,5000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,8,EFUHV14L27BA        ,5000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,9,EFUHV8D65A          ,10000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,10,EFUHV8D65BA         ,15000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,11,EFUHV8L27A          ,5000,PC,
PLIC0045,PIZ00003  ,05-25-2015,2015-06-11,301367,SEA.F     ,12,EFUHV8L27BA         ,5000,PC,
