PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,1,EFDHV11D65BA        ,2400,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,2,EFDHV15D65BA        ,7200,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,3,EFDHV23D65BA        ,3552,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,4,EFDHV25D65BA        ,4800,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,5,EFDHV5D65BA         ,9600,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,6,EFDHV8D65BA         ,2400,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,7,EFDHV5L27BA         ,1152,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,8,EFDHV15L27BA        ,960,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,9,EFDHV20D65BA        ,5952,PC,
PLIC0048,PIZ00003  ,07-10-2015,,301367,SEA.F     ,10,EFDHV20L27BA        ,96,PC,
