PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,1,EFDHV11D65T         ,15360,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,2,EFDHV11L27T         ,6720,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,3,EFDHV15D65T         ,53952,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,4,EFDHV15L27T         ,11520,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,5,EFDHV20D65T         ,24000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,6,EFDHV20L27T         ,4320,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,7,EFDHV23D65T         ,17952,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,8,EFDHV23L27T         ,2400,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,9,EFDHV25D65T         ,312000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,10,EFDHV25L27T         ,14400,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,11,EFDHV5D65T          ,7200,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,12,EFDHV5L27T          ,2400,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,13,EFDHV8D65T          ,12000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,14,EFU11E272V          ,15000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,15,EFU11E652V          ,44000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,16,EFU14E272V          ,24000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,17,EFU14E652V          ,220000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,18,EFU18E272V          ,6300,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,19,EFU18E652V          ,70000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,20,EFU5E282V           ,10000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,21,EFU5E672V           ,15000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,22,EFU8E272V           ,15000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,23,EFU8E652V           ,60000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,24,EFUHV11D65A         ,24000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,25,EFUHV11L27A         ,2400,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,26,EFUHV14D65A         ,65000,PC,
PLIC0054,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,27,EFUHV8L27A          ,4000,PC,
