PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,1,EFDHV5L27A          ,1056,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,2,EFDHV8D65A          ,1248,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,3,EFDHV8L27A          ,576,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,4,EFU18E272V          ,16500,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,5,EFU18E652V          ,45000,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,6,EFDHV11D65A         ,2016,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,7,EFDHV11L27A         ,192,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,8,EFDHV15D65A         ,1824,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,9,EFDHV15L27A         ,1440,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,10,EFDHV20D65A         ,6240,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,11,EFDHV20L27A         ,2208,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,12,EFDHV23D65A         ,4800,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,13,EFDHV25D65A         ,54048,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,14,EFDHV25L27A         ,15552,PC,
PLIC0057,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,15,EFDHV5D65A          ,576,PC,
