PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,1,EFDHV8D65E14M       ,1464,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,2,EFUHV18L27M         ,3000,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,3,EFUHV18D65M         ,6000,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,4,EFUHV23L27M         ,3000,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,5,EFUHV23D65M         ,6000,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,6,EFUHV11D65M         ,1000,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,7,EFUHV11L27M         ,500,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,8,EFUHV8D65M          ,1000,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,9,EFUHV8L27M          ,500,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,10,EFUHV14D65M         ,1000,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,11,EFUHV14L27M         ,500,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,12,EFDHV11D65M         ,3120,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,13,EFDHV15L27M         ,1200,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,14,EFDHV15D65M         ,3168,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,15,EFDHV20L27M         ,1032,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,16,EFDHV20D65M         ,2400,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,17,EFDHV23L27M         ,1200,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,18,EFDHV23D65M         ,1452,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,19,EFDHV25L27M         ,2448,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,20,EFDHV25D65M         ,7344,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,21,EFDHV11L27M         ,1560,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,22,EFDHV8D65M          ,1464,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,23,EFDHV8L27M          ,732,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,24,EFDHV32D65A         ,1680,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,25,EFDHV42D65A         ,1242,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,26,EFDHV5D65M          ,1560,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,27,EFDHV5L27M          ,780,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,28,EFDHV5D65E14M       ,1560,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,29,EFDHV5L27E14M       ,780,PC,
PLIC0067,PIZ00003  ,06-25-2015,2015-07-10,301367,SEA.F     ,30,EFDHV8L27E14M       ,732,PC,
