PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,1,EFUHV23L27M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,2,EFUHV23D65M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,3,EFDHV11D65M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,4,EFDHV15L27M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,5,EFDHV15D65M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,6,EFDHV20L27M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,7,EFDHV20D65M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,8,EFDHV23L27M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,9,EFDHV23D65M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,10,EFDHV25L27M         ,0,PC,
PLIC0068,PIZ00003  ,07-27-2015,,301367,SEA.F     ,11,EFDHV25D65M         ,0,PC,
