PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,1,EFUHV23L27M         ,4000,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,2,EFUHV23D65M         ,6000,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,3,EFDHV11D65M         ,5220,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,4,EFDHV15L27M         ,8736,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,5,EFDHV20L27M         ,3432,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,6,EFDHV20D65M         ,3432,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,7,EFDHV23L27M         ,2652,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,8,EFDHV23D65M         ,2652,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,9,EFDHV25L27M         ,2448,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,10,EFDHV25D65M         ,4896,PC,
PLIC0071,PIZ00003  ,07-27-2015,2015-07-10,301367,SEA.F     ,11,EFDHV15D65M         ,13104,PC,
