PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,1,EFDHV11D65L         ,3792,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,2,EFDHV11L27L         ,1992,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,3,EFDHV15D65L         ,3492,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,4,EFDHV15L27L         ,2496,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,5,EFDHV20D65L         ,8592,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,6,EFDHV20L27L         ,3600,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,7,EFDHV23D65L         ,9000,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,8,EFDHV23L27L         ,1800,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,9,EFDHV25D65L         ,6000,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,10,EFDHV25L27L         ,1896,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,11,EFDHV8D65L          ,1992,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,12,EFDHV8L27L          ,2100,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,13,EFUHV14L27L         ,600,PC,
PLIC0074,PIZ00003  ,07-25-2015,1970-01-01,301367,SEA.F     ,14,EFUHV8L27L          ,300,PC,
