PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,1,EFDHV11D65T         ,8160,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,2,EFDHV11L27T         ,5280,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,3,EFDHV15D65T         ,79680,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,4,EFDHV15L27T         ,8160,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,5,EFDHV20D65T         ,17280,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,6,EFDHV20L27T         ,5184,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,7,EFDHV23D65T         ,12000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,8,EFDHV23L27T         ,3648,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,9,EFDHV25D65T         ,305952,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,10,EFDHV25L27T         ,12960,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,11,EFDHV32D65A         ,9984,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,12,EFDHV42D65A         ,12000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,13,EFDHV5D65T          ,6720,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,14,EFDHV5L27T          ,2400,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,15,EFDHV8D65T          ,10752,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,16,EFU11E272V          ,12000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,17,EFU11E652V          ,40000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,18,EFU14E272V          ,25000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,19,EFU14E652V          ,162000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,20,EFU18E272V          ,3000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,21,EFU18E652V          ,20000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,22,EFU5E282V           ,8000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,23,EFU5E672V           ,10000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,24,EFU8E272V           ,13500,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,25,EFU8E652V           ,54000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,26,EFUHV11L27A         ,2400,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,27,EFUHV18D65A         ,80000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,28,EFUHV18L27A         ,6000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,29,EFUHV23D65A         ,60000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,30,EFUHV23L27A         ,6000,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,31,EFUHV8D65A          ,4500,PC,
PLIC0076,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,32,EFUHV8L27A          ,3000,PC,
