PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,1,EFDHV11D65A         ,1824,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,2,EFDHV11L27A         ,384,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,3,EFDHV15D65A         ,2880,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,4,EFDHV15L27A         ,1440,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,5,EFDHV20D65A         ,5568,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,6,EFDHV20L27A         ,768,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,7,EFDHV25D65A         ,46848,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,8,EFDHV25L27A         ,12672,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,9,EFDHV8D65A          ,672,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,10,EFDHV8L27A          ,480,PC,
PLIC0077,PIZ00003  ,07-25-2015,2015-08-10,301367,SEA.F     ,11,EFU18E272V          ,11500,PC,
