PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,1,EFDLV8D65L          ,1440,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,2,EFDLV11L27L         ,2592,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,3,EFDLV11D65L         ,4320,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,4,EFDLV15L27L         ,1236,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,5,EFDLV15D65L         ,5376,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,6,EFDLV20D65L         ,3312,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,7,EFDLV23L27L         ,1260,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,8,EFDLV23D65L         ,1344,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,9,EFDLV25L27L         ,2784,PC,
PLIC0083,PIZ00003  ,08-27-2015,2015-09-25,301367,SEA.F     ,10,EFDLV25D65L         ,4320,PC,
