PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,1,EFDHV25L27T         ,9600,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,2,EFDHV32D65A         ,4584,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,3,EFDHV42D65A         ,3600,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,4,EFDHV5L27T          ,2400,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,5,EFU11E272V          ,12000,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,6,EFU14E272V          ,10000,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,7,EFU8E272V           ,10000,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,8,EFU8E652V           ,10000,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,9,EFUHV18L27A         ,1000,PC,
PLIC0088,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,10,EFUHV23L27A         ,2000,PC,
