PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,1,EFDHV11D65A         ,3840,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,2,EFDHV11L27A         ,864,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,3,EFDHV15D65A         ,4224,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,4,EFDHV20D65A         ,8256,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,5,EFDHV20L27A         ,480,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,6,EFDHV23D65A         ,4512,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,7,EFDHV25D65A         ,55008,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,8,EFDHV25L27A         ,4704,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,9,EFDHV5D65A          ,384,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,10,EFDHV5L27A          ,480,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,11,EFDHV8D65A          ,3648,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,12,EFU18E272V          ,5000,PC,
PLIC0090,PIZ00003  ,08-25-2015,2015-09-10,301367,SEA.F     ,13,EFU18E652V          ,60000,PC,
