PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,1,EFDHV11L27A         ,1152,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,2,EFDHV20L27A         ,480,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,3,EFDHV25D65A         ,4800,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,4,EFDHV15D65A         ,4500,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,5,EFDHV15L27A         ,960,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,6,EFDHV20D65A         ,1200,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,7,EFDHV25L27A         ,480,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,8,EFDHV5L27A          ,1200,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,9,EFDHV8D65A          ,1200,PC,
PLIC0293,PIZ00003  ,03-16-2016,,301367,SEA.F     ,10,EFDHV8L27A          ,2400,PC,
